File Name,Folder Path,File Type,Total Lines,Blank Lines,Code Lines,Comment/Doc Lines,Purpose/Description,Quality
.gitattributes,/home/user/Turas,none,2,0,,,Git attributes configuration,N/A
.gitignore,/home/user/Turas,none,57,9,,,Git ignore rules,N/A
ARCHITECTURE.md,/home/user/Turas,md,687,154,,,Documentation file,N/A
README.md,/home/user/Turas,md,170,37,,,Module overview and general information,N/A
SETUP_AND_TEMPLATES_GUIDE.md,/home/user/Turas,md,887,195,,,Graphical user interface,N/A
TROUBLESHOOTING.md,/home/user/Turas,md,342,93,,,Documentation file,N/A
Turas.Rproj,/home/user/Turas,rproj,13,3,,,RStudio project configuration,N/A
analyze_repository.R,/home/user/Turas,r,357,50,269,38,Unknown purpose,Solid
analyze_repository.py,/home/user/Turas,py,349,53,,,Python script,N/A
Active_Scripts_Reference.md,docs,md,405,97,,,Documentation file,N/A
CODE_REVIEW_SUMMARY.md,docs,md,580,145,,,Documentation file,N/A
Composite_Scores_Implementation_Summary.md,docs,md,454,88,,,Documentation file,N/A
Index_Summary_Maintenance_Guide.md,docs,md,934,228,,,Graphical user interface,N/A
Index_Summary_User_Manual.md,docs,md,352,106,,,Detailed user manual and instructions,N/A
MAINTENANCE.md,docs,md,1036,317,,,Maintenance guide for code upkeep,N/A
SPSS_compatibility.md,docs,md,105,36,,,Documentation file,N/A
Shared_Code_Refactoring_Plan.md,docs,md,684,131,,,Documentation file,N/A
TURAS_Developer_Maintenance_Guide.docx,docs,docx,123,4,,,Graphical user interface,N/A
Tracker_integration_considerations.md,docs,md,292,113,,,Documentation file,N/A
Turas Code Quality Standards.docx,docs,docx,173,3,,,Word document with detailed documentation,N/A
TurasTabs_Composite_Scores_User_Manual.docx,docs,docx,146,0,,,Word document with detailed documentation,N/A
TurasTracker_Maintenance_Guide.md,docs,md,1115,256,,,Graphical user interface,N/A
TurasTracker_User_Manual.md,docs,md,911,237,,,Detailed user manual and instructions,N/A
USER_MANUAL.md,docs,md,476,120,,,Detailed user manual and instructions,N/A
CODEBASE_ANALYSIS.md,docs/archive,md,1182,233,,,Documentation file,N/A
README.md,docs/archive,md,40,11,,,Module overview and general information,N/A
TEST_BUG_FIXES.md,docs/archive,md,226,65,,,Test suite for module functionality,N/A
TURAS_Parser_Enhancement_Development_Brief.md,docs/archive/development_specs,md,1037,193,,,Documentation file,N/A
TURAS_Parser_v2_Architecture_Diagram.txt,docs/archive/development_specs,txt,439,46,,,Text documentation or notes,N/A
TURAS_Parser_v2_Implementation_Checklist.md,docs/archive/development_specs,md,334,62,,,Documentation file,N/A
turas_conjoint_development_spec_v1.md,docs/archive/development_specs,md,1775,379,,,Documentation file,N/A
turas_key_driver_analysis_spec.md,docs/archive/development_specs,md,1444,286,,,Documentation file,N/A
turas_pricing_module_spec.md,docs/archive/development_specs,md,4371,794,,,Documentation file,N/A
README.md,docs/archive/feedback,md,24,7,,,Module overview and general information,N/A
added confidence feedback from chatgpt.txt,docs/archive/feedback,txt,286,39,,,Text documentation or notes,N/A
confidence review feedback from chatgpt.txt,docs/archive/feedback,txt,1066,135,,,Text documentation or notes,N/A
segmentation architecture review feedback.txt,docs/archive/feedback,txt,266,17,,,Text documentation or notes,N/A
segmentation review feedback.txt,docs/archive/feedback,txt,662,98,,,Text documentation or notes,N/A
turas key driver feedback.txt,docs/archive/feedback,txt,1452,172,,,Text documentation or notes,N/A
turas pricing module feedback.txt,docs/archive/feedback,txt,1364,123,,,Text documentation or notes,N/A
turas tabs feedback.txt,docs/archive/feedback,txt,716,87,,,Text documentation or notes,N/A
turas tracker feedback.txt,docs/archive/feedback,txt,425,19,,,Text documentation or notes,N/A
README.md,docs/archive/old_manuals,md,23,6,,,Module overview and general information,N/A
TURAS_Quick_Reference_Guide.docx,docs/archive/old_manuals,docx,111,0,,,Graphical user interface,N/A
TURAS_User_Manual.docx,docs/archive/old_manuals,docx,144,4,,,Word document with detailed documentation,N/A
TurasTracker_Quick_Start_Guide.docx,docs/archive/old_manuals,docx,88,3,,,Graphical user interface,N/A
Turas_Parser_Quick_Reference.docx,docs/archive/old_manuals,docx,104,0,,,Word document with detailed documentation,N/A
Turas_Quick_Reference.docx,docs/archive/old_manuals,docx,121,2,,,Word document with detailed documentation,N/A
Turas_Suite_Quick_Start_Guide.docx,docs/archive/old_manuals,docx,97,3,,,Graphical user interface,N/A
Turas_User_Guide.docx,docs/archive/old_manuals,docx,156,1,,,Graphical user interface,N/A
KEYDRIVER_CODE_REVIEW_PACKAGE.md,docs/archive/review_packages,md,1511,300,,,Documentation file,N/A
PRICING_MODULE_IMPLEMENTATION_SUMMARY.md,docs/archive/review_packages,md,581,166,,,Documentation file,N/A
PRICING_MODULE_REVIEW_PACKAGE.md,docs/archive/review_packages,md,573,134,,,Documentation file,N/A
TURAS_Tracking_Module_kickoff_pack.md,docs/archive/tracker_specs,md,263,115,,,Documentation file,N/A
TurasTracking_Development_Brief.md,docs/archive/tracker_specs,md,1660,325,,,Documentation file,N/A
TurasTracking_brief.md,docs/archive/tracker_specs,md,2502,1173,,,Documentation file,N/A
Turas_tracking_development_brief.md,docs/archive/tracker_specs,md,374,152,,,Documentation file,N/A
turas_codebase_analysis.csv,docs/archive,csv,128,0,,,Data file,N/A
launch_tracker_gui.R,/home/user/Turas,r,21,2,9,10,Graphical user interface,Needs Improvement
launch_turas.R,/home/user/Turas,r,510,68,396,46,Unknown purpose,Needs Improvement
EXAMPLE_WORKFLOWS.md,modules/AlchemerParser,md,1004,235,,,Example workflows and use cases,N/A
QUICK_START.md,modules/AlchemerParser,md,122,37,,,Quick start guide for new users,N/A
00_main.R,modules/AlchemerParser/R,r,337,51,200,86,Main orchestrator script that coordinates module workflow,Solid
01_parse_data_map.R,modules/AlchemerParser/R,r,377,59,184,134,Configuration loading and validation,Solid
02_parse_translation.R,modules/AlchemerParser/R,r,202,25,89,88,Data loading and preprocessing,Solid
03_parse_word_doc.R,modules/AlchemerParser/R,r,159,24,84,51,Unknown purpose,Solid
04_classify_questions.R,modules/AlchemerParser/R,r,604,90,339,175,Unknown purpose,Solid
05_generate_codes.R,modules/AlchemerParser/R,r,401,61,200,140,Script to create/generate example or test data,Solid
06_output.R,modules/AlchemerParser/R,r,550,90,322,138,Output generation and file export,Solid
README.md,modules/AlchemerParser,md,301,90,,,Module overview and general information,N/A
TECHNICAL_DOCUMENTATION.md,modules/AlchemerParser,md,745,189,,,Technical documentation for developers,N/A
USER_MANUAL.md,modules/AlchemerParser,md,621,169,,,Detailed user manual and instructions,N/A
run_alchemerparser.R,modules/AlchemerParser,r,94,9,73,12,Main execution script to run the module,Solid
run_alchemerparser_gui.R,modules/AlchemerParser,r,560,69,437,54,Graphical user interface,Solid
test_variable_type_fix.R,modules/AlchemerParser,r,249,38,176,35,Test suite for module functionality,Solid
DOCUMENTATION_INDEX.md,modules/confidence,md,414,127,,,Documentation file,N/A
EXAMPLE_WORKFLOWS.md,modules/confidence,md,490,113,,,Example workflows and use cases,N/A
EXTERNAL_REVIEW_FIXES.md,modules/confidence,md,370,99,,,Documentation file,N/A
MAINTENANCE_GUIDE.md,modules/confidence,md,1515,320,,,Graphical user interface,N/A
NPS_PHASE2_IMPLEMENTATION.md,modules/confidence,md,489,104,,,Documentation file,N/A
QUICK_START.md,modules/confidence,md,261,67,,,Quick start guide for new users,N/A
00_main.R,modules/confidence/R,r,1171,173,762,236,Main orchestrator script that coordinates module workflow,Solid
01_load_config.R,modules/confidence/R,r,747,110,439,198,Configuration loading and validation,Solid
02_load_data.R,modules/confidence/R,r,414,58,221,135,Data loading and preprocessing,Solid
03_study_level.R,modules/confidence/R,r,700,97,328,275,Unknown purpose,Solid
04_proportions.R,modules/confidence/R,r,581,63,213,305,Unknown purpose,Solid
05_means.R,modules/confidence/R,r,589,66,264,259,Unknown purpose,Solid
07_output.R,modules/confidence/R,r,1189,198,751,240,Output generation and file export,Solid
utils.R,modules/confidence/R,r,423,63,161,199,Utility functions and helper methods,Solid
README.md,modules/confidence,md,485,139,,,Module overview and general information,N/A
REAL_CONFIG_TEST_INSTRUCTIONS.md,modules/confidence,md,213,53,,,Configuration loading and validation,N/A
REPRESENTATIVENESS_GUIDE.md,modules/confidence,md,778,199,,,Graphical user interface,N/A
TECHNICAL_DOCUMENTATION.md,modules/confidence,md,1230,300,,,Technical documentation for developers,N/A
TESTING_GUIDE.md,modules/confidence,md,339,101,,,Graphical user interface,N/A
USER_MANUAL.md,modules/confidence,md,1137,335,,,Detailed user manual and instructions,N/A
create_example_config.R,modules/confidence/examples,r,359,46,247,66,Configuration loading and validation,Solid
run_confidence_gui.R,modules/confidence,r,441,54,335,52,Launch confidence intervals analysis GUI,Solid
test_01_load_config.R,modules/confidence/tests,r,562,121,371,70,Configuration loading and validation,Solid
test_end_to_end.R,modules/confidence/tests,r,233,43,143,47,Test suite for module functionality,Needs Improvement
test_nps.R,modules/confidence/tests,r,306,58,200,48,Test suite for module functionality,Needs Improvement
test_real_config_ccpb.R,modules/confidence/tests,r,173,26,117,30,Verify module works with configs created before NPS/representativeness features,Needs Improvement
test_representativeness.R,modules/confidence/tests,r,465,87,283,95,Test suite for module functionality,Solid
test_utils.R,modules/confidence/tests,r,547,106,343,98,Utility functions and helper methods,Needs Improvement
test_weighted_data.R,modules/confidence/tests,r,432,84,300,48,Comprehensive test of weighted data handling,Needs Improvement
IMPLEMENTATION_STATUS.md,modules/conjoint,md,608,101,,,Documentation file,N/A
MAINTENANCE_GUIDE.md,modules/conjoint,md,1248,291,,,Graphical user interface,N/A
Part1_Core_Technical_Specification.md,modules/conjoint,md,483,95,,,Technical documentation for developers,N/A
Part2_Configuration_Testing_Validation.md,modules/conjoint,md,718,128,,,Configuration loading and validation,N/A
Part3_Excel_Output_Market_Simulator.md,modules/conjoint,md,952,175,,,Output generation and file export,N/A
Part4_Alchemer_Choice_Types_Format_Support.md,modules/conjoint,md,1191,280,,,Documentation file,N/A
Part5_Excel_Data_Configuration_File_Structures.md,modules/conjoint,md,857,186,,,Configuration loading and validation,N/A
00_main.R,modules/conjoint/R,r,371,54,206,111,Calculate part-worth utilities and attribute importance from,Solid
01_config.R,modules/conjoint/R,r,417,61,263,93,Load and validate conjoint study configuration,Solid
02_data.R,modules/conjoint/R,r,446,65,306,75,"Load, validate, and prepare conjoint data for analysis",Solid
03_estimation.R,modules/conjoint/R,r,466,78,283,105,Estimate choice models using mlogit (primary) and clogit (fallback),Solid
04_utilities.R,modules/conjoint/R,r,516,94,298,124,"Calculate utilities, confidence intervals, and attribute importance",Solid
05_simulator.R,modules/conjoint/R,r,451,83,226,142,Unknown purpose,Solid
06_interactions.R,modules/conjoint/R,r,442,86,205,151,Unknown purpose,Solid
07_output.R,modules/conjoint/R,r,346,67,214,65,Create formatted Excel workbook with comprehensive results,Solid
08_market_simulator.R,modules/conjoint/R,r,561,107,327,127,Unknown purpose,Solid
09_none_handling.R,modules/conjoint/R,r,383,70,216,97,"Auto-detect and handle ""none of these"" options in CBC data",Solid
10_best_worst.R,modules/conjoint/R,r,434,87,217,130,Unknown purpose,Solid
11_hierarchical_bayes.R,modules/conjoint/R,r,453,69,198,186,Unknown purpose,Solid
99_helpers.R,modules/conjoint/R,r,512,86,223,203,Shared utility functions for conjoint analysis,Solid
README.md,modules/conjoint,md,247,58,,,Module overview and general information,N/A
TUTORIAL.md,modules/conjoint,md,931,222,,,Documentation file,N/A
USER_MANUAL.md,modules/conjoint,md,1120,294,,,Detailed user manual and instructions,N/A
QUICK_START_GUIDE.md,modules/conjoint/examples,md,649,168,,,Graphical user interface,N/A
README.md,modules/conjoint/examples,md,222,54,,,Module overview and general information,N/A
create_example_config.R,modules/conjoint/examples,r,176,19,138,19,Configuration loading and validation,Needs Improvement
create_example_config.py,modules/conjoint/examples,py,143,23,,,Configuration loading and validation,N/A
create_sample_data.py,modules/conjoint/examples,py,123,20,,,Data loading and preprocessing,N/A
example_config.xlsx,modules/conjoint/examples,xlsx,54,0,,,Configuration loading and validation,N/A
fix_config_paths.py,modules/conjoint/examples,py,46,9,,,Configuration loading and validation,N/A
fix_example_config.py,modules/conjoint/examples,py,134,20,,,Configuration loading and validation,N/A
.gitkeep,modules/conjoint/examples/output,none,0,0,,,Placeholder to keep empty directory in git,N/A
sample_cbc_data.csv,modules/conjoint/examples,csv,1201,0,,,Data loading and preprocessing,N/A
test_analysis.R,modules/conjoint/examples,r,159,25,107,27,Test suite for module functionality,Solid
test_market_simulator.R,modules/conjoint/examples,r,392,70,266,56,Test suite for module functionality,Needs Improvement
update_config_for_simulator.py,modules/conjoint/examples,py,26,5,,,Configuration loading and validation,N/A
run_conjoint_gui.R,modules/conjoint,r,428,52,330,46,Graphical user interface,Solid
test_integration.R,modules/conjoint/tests,r,512,103,348,61,Test suite for module functionality,Solid
test_unit_tests.R,modules/conjoint/tests,r,588,98,432,58,Test suite for module functionality,Needs Improvement
QUICK_START.md,modules/keydriver,md,165,46,,,Quick start guide for new users,N/A
00_main.R,modules/keydriver/R,r,150,15,66,69,Determine which independent variables (drivers) have the greatest,Solid
01_config.R,modules/keydriver/R,r,100,15,64,21,Configuration loading and validation,Solid
02_validation.R,modules/keydriver/R,r,139,22,90,27,Data loading and preprocessing,Solid
03_analysis.R,modules/keydriver/R,r,399,76,226,97,Unknown purpose,Solid
04_output.R,modules/keydriver/R,r,306,36,228,42,Output generation and file export,Needs Improvement
README.md,modules/keydriver,md,258,58,,,Module overview and general information,N/A
USER_MANUAL.md,modules/keydriver,md,1155,326,,,Detailed user manual and instructions,N/A
run_keydriver_gui.R,modules/keydriver,r,418,49,325,44,Graphical user interface,Solid
DATA_HEADERS_FEATURE_SUMMARY.txt,modules/parser/Documentation,txt,243,65,,,Data loading and preprocessing,N/A
DATA_HEADERS_IMPLEMENTATION_GUIDE.txt,modules/parser/Documentation,txt,244,63,,,Data loading and preprocessing,N/A
PARSER_CHANGES_SUMMARY.txt,modules/parser/Documentation,txt,134,35,,,Text documentation or notes,N/A
PARSER_COMPLETE_FIX_PACKAGE.txt,modules/parser/Documentation,txt,261,62,,,Text documentation or notes,N/A
PARSER_FIXES_COMBINED_SUMMARY.txt,modules/parser/Documentation,txt,180,46,,,Text documentation or notes,N/A
PARSER_FIX_3_ORCHESTRATOR.txt,modules/parser/Documentation,txt,106,32,,,Text documentation or notes,N/A
PARSER_IMPROVEMENTS_GUIDE.txt,modules/parser/Documentation,txt,232,62,,,Graphical user interface,N/A
SHINY_APP_UPDATE_GUIDE.txt,modules/parser/Documentation,txt,285,72,,,Graphical user interface,N/A
TYPE_DETECTION_FIX_GUIDE.txt,modules/parser/Documentation,txt,145,36,,,Graphical user interface,N/A
comparison.docx,modules/parser/Documentation,docx,202,2,,,Word document with detailed documentation,N/A
index.docx,modules/parser/Documentation,docx,229,8,,,Word document with detailed documentation,N/A
manifest.docx,modules/parser/Documentation,docx,232,7,,,Word document with detailed documentation,N/A
migration guide.docx,modules/parser/Documentation,docx,227,6,,,Graphical user interface,N/A
migration summary.docx,modules/parser/Documentation,docx,263,5,,,Word document with detailed documentation,N/A
readme.docx,modules/parser/Documentation,docx,122,1,,,Word document with detailed documentation,N/A
EXAMPLE_WORKFLOWS.md,modules/parser,md,726,164,,,Example workflows and use cases,N/A
QUICK_START.md,modules/parser,md,217,56,,,Quick start guide for new users,N/A
TECHNICAL_DOCUMENTATION.md,modules/parser,md,866,194,,,Technical documentation for developers,N/A
Turas_Parser_Quick_Reference.docx,modules/parser,docx,104,0,,,Word document with detailed documentation,N/A
USER_MANUAL.md,modules/parser,md,837,192,,,Detailed user manual and instructions,N/A
bin_detector.R,modules/parser/lib,r,161,20,89,52,Detect numeric bins in option text,Solid
docx_reader.R,modules/parser/lib,r,112,18,40,54,Read and extract text from Word (.docx) documents,Solid
output_generator.R,modules/parser/lib,r,599,98,350,151,"Generate Survey_Structure.xlsx, Selection_Sheet.xlsx, and Data_Headers.xlsx",Solid
parse_orchestrator.R,modules/parser/lib,r,213,34,106,73,Orchestrate the complete parsing workflow,Solid
pattern_parser.R,modules/parser/lib,r,265,33,145,87,Parse questionnaires using pattern matching,Solid
structure_parser.R,modules/parser/lib,r,148,24,70,54,Parse questionnaires based on document structure,Solid
text_cleaner.R,modules/parser/lib,r,192,36,84,72,Clean question text and extract inline options,Solid
type_detector.R,modules/parser/lib,r,334,45,155,134,Automatically detect question types,Solid
run_parser.R,modules/parser,r,84,10,43,31,Parse Word questionnaires and generate Survey_Structure.xlsx,Solid
shiny_app.R,modules/parser,r,472,46,359,67,Interactive UI for questionnaire parsing,Solid
turas_launcher_shiny.R,modules/parser,r,571,72,433,66,Graphical user interface,Solid
turas_launcher_tcltk.R,modules/parser,r,375,67,248,60,Unknown purpose,Solid
EXAMPLE_WORKFLOWS.md,modules/pricing,md,503,135,,,Example workflows and use cases,N/A
QUICK_START.md,modules/pricing,md,145,38,,,Quick start guide for new users,N/A
00_main.R,modules/pricing/R,r,387,43,224,120,Analyze pricing sensitivity using Van Westendorp PSM and,Solid
01_config.R,modules/pricing/R,r,694,98,462,134,Load and validate Excel configuration for pricing analysis,Solid
02_validation.R,modules/pricing/R,r,452,59,301,92,Load and validate pricing survey data,Solid
03_van_westendorp.R,modules/pricing/R,r,400,65,194,141,Implement Van Westendorp PSM analysis methodology,Solid
04_gabor_granger.R,modules/pricing/R,r,520,79,288,153,Implement Gabor-Granger pricing methodology,Solid
05_visualization.R,modules/pricing/R,r,495,66,327,102,Generate visualizations for pricing analysis results,Solid
06_output.R,modules/pricing/R,r,602,92,419,91,Generate Excel output files with analysis results,Solid
07_wtp_distribution.R,modules/pricing/R,r,291,49,145,97,Extract and analyze WTP distributions from pricing data,Solid
08_competitive_scenarios.R,modules/pricing/R,r,252,40,126,86,Simulate competitive market scenarios and price-based choice,Solid
09_price_volume_optimisation.R,modules/pricing/R,r,334,50,185,99,Find optimal prices subject to business constraints,Solid
README.md,modules/pricing,md,216,53,,,Module overview and general information,N/A
TECHNICAL_DOCUMENTATION.md,modules/pricing,md,465,107,,,Technical documentation for developers,N/A
TESTING_CHECKLIST.md,modules/pricing,md,174,50,,,Documentation file,N/A
TEST_NEW_FEATURES.R,modules/pricing,r,327,57,230,40,Test all Phase 1-3 implementations,Needs Improvement
TUTORIAL.md,modules/pricing,md,461,124,,,Documentation file,N/A
USER_MANUAL.md,modules/pricing,md,6,2,,,Detailed user manual and instructions,N/A
sample_vw_data.csv,modules/pricing/examples,csv,11,0,,,Data loading and preprocessing,N/A
